CML firm ID,Trading name (for display),Google review count                          (all offices),Google review average rating                     (all offices),Adjusted reputation value,Google reviews URL,Last updated
CML-001,Talbots Law,1370,4.4,5.2,talbots law - Google Maps,
CML-002,Poole Alcock,5,4.2,4.4,,
CML-003,Knights ,55,4.2,4.6,,
CML-004,Davisons Law,2909,4.6,5.5,,
CML-005,Irwin Mitchell ,538,4.6,5.3,,
CML-006,Shakespeare Martineau ,57,2.8,3.1,,
CML-007,HCB Solicitors ,,,,,
CML-008,Star Legal Solicitors,,,,,
CML-009,HCR Law,,,,,
CML-010,Hine Solicitors ,,,,,
CML-011,David J Foster & Co ,,,,,
CML-012,FBC Manby Bowdler ,,,,,
CML-013,Hill Dickinson,,,,,
CML-014,Spencer West,,,,,
CML-015,Weightmans ,,,,,
CML-016,Gordon & Thompson Solicitors,,,,,
CML-017,NBB Waldrons Solicitors,,,,,
CML-018,Glover Priest Solicitors ,,,,,
CML-019,Gunnercooke,,,,,
CML-020,MFG Solicitors,,,,,
CML-021,Alsters Kelley Solicitors ,,,,,
CML-022,Clarke Willmott,,,,,
